"Index","Ensembl.ID","Gene.name"
1,"ENSG00000242268","LINC02082"
2,"ENSG00000270112","AC090241.2"
3,"ENSG00000167578","RAB4B"
5,"ENSG00000078237","TIGAR"
6,"ENSG00000146083","RNF44"
7,"ENSG00000225275","NUP210P2"
8,"ENSG00000158486","DNAH3"
9,"ENSG00000198242","RPL23A"
10,"ENSG00000259883","EHD4-AS1"
11,"ENSG00000231981","RPL7L1P12"
12,"ENSG00000269475","AC244102.2"
13,"ENSG00000201788","Y_RNA"
14,"ENSG00000134108","ARL8B"
15,"ENSG00000263089","AC007114.2"
16,"ENSG00000172137","CALB2"
17,"ENSG00000167700","MFSD3"
18,"ENSG00000234943","AC092839.2"
19,"ENSG00000240423","LINC00636"
20,"ENSG00000060642","PIGV"
21,"ENSG00000271616","AC055876.5"
22,"ENSG00000234881","PIGFP2"
23,"ENSG00000236040","CHIAP1"
24,"ENSG00000231105","AL031728.1"
25,"ENSG00000243044","AC128716.1"
26,"ENSG00000182141","ZNF708"
27,"ENSG00000269416","LINC01224"
28,"ENSG00000264981","AC015818.5"
29,"ENSG00000275265","AC127002.1"
30,"ENSG00000185105","MYADML2"
31,"ENSG00000233540","DNM3-IT1"
32,"ENSG00000102174","PHEX"
33,"ENSG00000271647","KRT8P47"
34,"ENSG00000166391","MOGAT2"
35,"ENSG00000270469","AC006557.5"
36,"ENSG00000070087","PFN2"
37,"ENSG00000262950","AC007861.1"
38,"ENSG00000255420","CASC23"
39,"ENSG00000280038","DNM1P41"
40,"ENSG00000266261","AC005324.5"
41,"ENSG00000153561","RMND5A"
42,"ENSG00000269148","AC092301.1"
43,"ENSG00000274458","SNORA40"
44,"ENSG00000273406","AC245008.1"
45,"ENSG00000179262","RAD23A"
46,"ENSG00000214198","TTC41P"
47,"ENSG00000278099","U1"
48,"ENSG00000166368","OR2D2"
49,"ENSG00000206072","SERPINB11"
50,"ENSG00000234900","AL135937.1"
51,"ENSG00000258630","LINC02292"
52,"ENSG00000127511","SIN3B"
54,"ENSG00000225269","LINC00705"
55,"ENSG00000214062","RPL7P17"
56,"ENSG00000095587","TLL2"
57,"ENSG00000274219","AC025588.4"
58,"ENSG00000230100","AL606490.3"
59,"ENSG00000064601","CTSA"
60,"ENSG00000227766","HCG4P5"
61,"ENSG00000008517","IL32"
62,"ENSG00000215246","AC116351.1"
63,"ENSG00000266644","AC103810.5"
64,"ENSG00000236893","ASS1P7"
65,"ENSG00000254465","THAP12P4"
66,"ENSG00000088179","PTPN4"
67,"ENSG00000070081","NUCB2"
68,"ENSG00000275479","AC087741.2"
69,"ENSG00000166634","SERPINB12"
70,"ENSG00000261789","AC023830.2"
71,"ENSG00000254092","AC015468.3"
72,"ENSG00000197421","GGT3P"
73,"ENSG00000161558","TMEM143"
74,"ENSG00000276644","DACH1"
75,"ENSG00000260900","AC145350.3"
76,"ENSG00000278732","Metazoa_SRP"
77,"ENSG00000196167","COLCA1"
78,"ENSG00000268465","AC008403.1"
79,"ENSG00000264438","RN7SL560P"
80,"ENSG00000204113","BMP2KL"
81,"ENSG00000207000","RNU6-820P"
82,"ENSG00000254131","AC093367.1"
83,"ENSG00000118972","FGF23"
84,"ENSG00000264104","AC114689.1"
85,"ENSG00000179833","SERTAD2"
87,"ENSG00000064225","ST3GAL6"
88,"ENSG00000267108","AP001029.1"
91,"ENSG00000057294","PKP2"
92,"ENSG00000227535","AL357315.1"
93,"ENSG00000252628","RNU6-453P"
94,"ENSG00000166007","TRIM51HP"
95,"ENSG00000273055","AC005046.1"
96,"ENSG00000242041","RPL35AP28"
97,"ENSG00000278923","AP005242.3"
98,"ENSG00000167768","KRT1"
99,"ENSG00000280159","AC016583.1"
100,"ENSG00000235240","AC026185.1"
101,"ENSG00000264172","PDLIM1P3"
102,"ENSG00000199903","RNU6-1273P"
103,"ENSG00000200058","RNA5SP218"
